Seconds	Amps
0.0	2.66105e-009	
0.1	2.66799e-009	
0.2	2.692e-009	
0.3	2.68884e-009	
0.4	2.66484e-009	
0.5	2.64336e-009	
0.6	2.65789e-009	
0.7	2.68e-009	
0.8	2.71411e-009	
0.9	2.71411e-009	
1.0	2.71411e-009	
1.1	2.74064e-009	
1.2	2.72611e-009	
1.3	2.78423e-009	
1.4	2.75707e-009	
1.5	2.73306e-009	
1.6	2.71095e-009	
1.7	2.71916e-009	
1.8	2.69642e-009	
1.9	2.67873e-009	
2.0	2.67494e-009	
2.1	2.69263e-009	
2.2	2.72864e-009	
2.3	2.73875e-009	
2.4	2.75264e-009	
2.5	2.73938e-009	
2.6	2.72043e-009	
2.7	2.78107e-009	
2.8	2.79939e-009	
2.9	2.74759e-009	
3.0	2.74948e-009	
3.1	2.71474e-009	
3.2	2.6901e-009	
3.3	2.68505e-009	
3.4	2.69453e-009	
3.5	2.66989e-009	
3.6	2.69579e-009	
3.7	2.67937e-009	
3.8	2.72737e-009	
3.9	2.7419e-009	
4.0	2.71348e-009	
4.1	2.7438e-009	
4.2	2.70147e-009	
4.3	2.67368e-009	
4.4	2.66294e-009	
4.5	2.68568e-009	
4.6	2.66484e-009	
4.7	2.68e-009	
4.8	2.68252e-009	
4.9	2.65599e-009	
5.0	2.65599e-009	
5.1	2.66168e-009	
5.2	2.64399e-009	
5.3	2.63325e-009	
5.4	2.65599e-009	
5.5	2.66547e-009	
5.6	2.64715e-009	
5.7	2.65599e-009	
5.8	2.68252e-009	
5.9	2.67179e-009	
6.0	2.67242e-009	
6.1	2.68821e-009	
6.2	2.69137e-009	
6.3	2.71727e-009	
6.4	2.72611e-009	
6.5	2.70211e-009	
6.6	2.67242e-009	
6.7	2.68126e-009	
6.8	2.65599e-009	
6.9	2.72106e-009	
7.0	2.70147e-009	
7.1	2.69958e-009	
7.2	2.71032e-009	
7.3	2.70527e-009	
7.4	2.71474e-009	
7.5	2.68821e-009	
7.6	2.6781e-009	
7.7	2.66926e-009	
7.8	2.66673e-009	
7.9	2.65536e-009	
8.0	2.67368e-009	
8.1	2.6541e-009	
8.2	2.63957e-009	
8.3	2.64841e-009	
8.4	2.63199e-009	
8.5	2.63136e-009	
8.6	2.64652e-009	
8.7	2.66105e-009	
8.8	2.68063e-009	
8.9	2.68821e-009	
9.0	2.7059e-009	
9.1	2.69832e-009	
9.2	2.66926e-009	
9.3	2.64083e-009	
9.4	2.62946e-009	
9.5	2.63009e-009	
9.6	2.61493e-009	
9.7	2.60798e-009	
9.8	2.60672e-009	
9.9	2.59914e-009	
10.0	2.60356e-009	
10.1	2.59472e-009	
10.2	2.59598e-009	
10.3	2.60546e-009	
10.4	2.61746e-009	
10.5	2.61241e-009	
10.6	2.60546e-009	
10.7	2.59282e-009	
10.8	2.60546e-009	
10.9	2.59788e-009	
11.0	2.59724e-009	
11.1	2.59156e-009	
11.2	2.63136e-009	
11.3	2.64146e-009	
11.4	2.62946e-009	
11.5	2.62757e-009	
11.6	2.65283e-009	
11.7	2.65915e-009	
11.8	2.65662e-009	
11.9	2.64778e-009	
12.0	2.62062e-009	
12.1	2.6162e-009	
12.2	2.63704e-009	
12.3	2.62314e-009	
12.4	2.61746e-009	
12.5	2.60482e-009	
12.6	2.6143e-009	
12.7	2.6023e-009	
12.8	2.60419e-009	
12.9	2.61556e-009	
13.0	2.60861e-009	
13.1	2.5903e-009	
13.2	2.60293e-009	
13.3	2.58461e-009	
13.4	2.56566e-009	
13.5	2.56376e-009	
13.6	2.58082e-009	
13.7	2.60672e-009	
13.8	2.62693e-009	
13.9	2.59724e-009	
14.0	2.58587e-009	
14.1	2.59535e-009	
14.2	2.58461e-009	
14.3	2.57829e-009	
14.4	2.58524e-009	
14.5	2.57198e-009	
14.6	2.56629e-009	
14.7	2.59282e-009	
14.8	2.64209e-009	
14.9	2.63894e-009	
15.0	2.60546e-009	
15.1	2.60482e-009	
15.2	2.61367e-009	
15.3	2.62378e-009	
15.4	2.60798e-009	
15.5	2.61556e-009	
15.6	2.59724e-009	
15.7	2.58271e-009	
15.8	2.59724e-009	
15.9	2.59345e-009	
16.0	2.59661e-009	
16.1	2.57766e-009	
16.2	2.60293e-009	
16.3	2.63072e-009	
16.4	2.63641e-009	
16.5	2.60167e-009	
16.6	2.6263e-009	
16.7	2.6162e-009	
16.8	2.62504e-009	
16.9	2.63957e-009	
17.0	2.60482e-009	
17.1	2.6162e-009	
17.2	2.66041e-009	
17.3	2.64462e-009	
17.4	2.60735e-009	
17.5	2.58903e-009	
17.6	2.59977e-009	
17.7	2.59724e-009	
17.8	2.57261e-009	
17.9	2.58019e-009	
18.0	2.59914e-009	
18.1	2.62946e-009	
18.2	2.65094e-009	
18.3	2.64083e-009	
18.4	2.61114e-009	
18.5	2.58966e-009	
18.6	2.58208e-009	
18.7	2.59535e-009	
18.8	2.71727e-009	
18.9	2.7179e-009	
19.0	2.65157e-009	
19.1	2.6282e-009	
19.2	2.61872e-009	
