Upload/ca20.txt,Upload/ca20.txt,Upload/ca21.txt,Upload/ca21.txt,Upload/ca22.txt,Upload/ca22.txt
Seconds,Amps,Seconds,Amps,Seconds,Amps
0.0,2.59535e-09,0.0,2.66105e-09,0.0,2.68442e-09
0.1,2.65599e-09,0.1,2.66799e-09,0.1,2.70779e-09
0.2,2.62757e-09,0.2,2.692e-09,0.2,2.71979e-09
0.3,2.58461e-09,0.3,2.68884e-09,0.3,2.7577e-09
0.4,2.57008e-09,0.4,2.66484e-09,0.4,2.74127e-09
0.5,2.54923e-09,0.5,2.64336e-09,0.5,2.69453e-09
0.6,2.54987e-09,0.6,2.65789e-09,0.6,2.69453e-09
0.7,2.64146e-09,0.7,2.68e-09,0.7,2.66105e-09
0.8,2.65978e-09,0.8,2.71411e-09,0.8,2.69453e-09
0.9,2.63451e-09,0.9,2.71411e-09,0.9,2.74569e-09
1.0,2.58777e-09,1.0,2.71411e-09,1.0,2.73622e-09
1.1,2.60988e-09,1.1,2.74064e-09,1.1,2.69389e-09
1.2,2.61304e-09,1.2,2.72611e-09,1.2,2.68252e-09
1.3,2.61493e-09,1.3,2.78423e-09,1.3,2.67873e-09
1.4,2.65094e-09,1.4,2.75707e-09,1.4,2.68126e-09
1.5,2.73306e-09,1.5,2.73306e-09,1.5,2.73116e-09
1.6,2.73432e-09,1.6,2.71095e-09,1.6,2.72737e-09
1.7,2.64146e-09,1.7,2.71916e-09,1.7,2.71474e-09
1.8,2.62314e-09,1.8,2.69642e-09,1.8,2.68505e-09
1.9,2.61746e-09,1.9,2.67873e-09,1.9,2.72422e-09
2.0,2.63388e-09,2.0,2.67494e-09,2.0,2.76149e-09
2.1,2.59977e-09,2.1,2.69263e-09,2.1,2.88088e-09
2.2,2.66863e-09,2.2,2.72864e-09,2.2,2.78107e-09
2.3,2.65031e-09,2.3,2.73875e-09,2.3,2.74759e-09
2.4,2.6541e-09,2.4,2.75264e-09,2.4,2.70906e-09
2.5,2.64968e-09,2.5,2.73938e-09,2.5,2.69453e-09
2.6,2.61809e-09,2.6,2.72043e-09,2.6,2.70211e-09
2.7,2.58966e-09,2.7,2.78107e-09,2.7,2.68884e-09
2.8,2.60861e-09,2.8,2.79939e-09,2.8,2.68505e-09
2.9,2.65536e-09,2.9,2.74759e-09,2.9,2.70716e-09
3.0,2.67179e-09,3.0,2.74948e-09,3.0,2.70274e-09
3.1,2.62062e-09,3.1,2.71474e-09,3.1,2.68126e-09
3.2,2.56376e-09,3.2,2.6901e-09,3.2,2.68e-09
3.3,2.56882e-09,3.3,2.68505e-09,3.3,2.68505e-09
3.4,2.54039e-09,3.4,2.69453e-09,3.4,2.71032e-09
3.5,2.61872e-09,3.5,2.66989e-09,3.5,2.73875e-09
3.6,2.57071e-09,3.6,2.69579e-09,3.6,2.72422e-09
3.7,2.57892e-09,3.7,2.67937e-09,3.7,2.71979e-09
3.8,2.54165e-09,3.8,2.72737e-09,3.8,2.73811e-09
3.9,2.53092e-09,3.9,2.7419e-09,3.9,2.71853e-09
4.0,2.54165e-09,4.0,2.71348e-09,4.0,2.692e-09
4.1,2.56882e-09,4.1,2.7438e-09,4.1,2.66863e-09
4.2,2.57956e-09,4.2,2.70147e-09,4.2,2.66799e-09
4.3,2.53723e-09,4.3,2.67368e-09,4.3,2.68316e-09
4.4,2.52333e-09,4.4,2.66294e-09,4.4,2.67558e-09
4.5,2.54481e-09,4.5,2.68568e-09,4.5,2.68442e-09
4.6,2.55618e-09,4.6,2.66484e-09,4.6,2.67937e-09
4.7,2.53786e-09,4.7,2.68e-09,4.7,2.67747e-09
4.8,2.52713e-09,4.8,2.68252e-09,4.8,2.69453e-09
4.9,2.50502e-09,4.9,2.65599e-09,4.9,2.70779e-09
5.0,2.51702e-09,5.0,2.65599e-09,5.0,2.69705e-09
5.1,2.50502e-09,5.1,2.66168e-09,5.1,2.70527e-09
5.2,2.51639e-09,5.2,2.64399e-09,5.2,2.69263e-09
5.3,2.52839e-09,5.3,2.63325e-09,5.3,2.68695e-09
5.4,2.54039e-09,5.4,2.65599e-09,5.4,2.68631e-09
5.5,2.51512e-09,5.5,2.66547e-09,5.5,2.66863e-09
5.6,2.52081e-09,5.6,2.64715e-09,5.6,2.68758e-09
5.7,2.48291e-09,5.7,2.65599e-09,5.7,2.68189e-09
