phi_temp,theta_fix,random,dz,u,ratio,OH,CH
0,-30,407.0296771689174,5,4,0.2937051128205592,4.930920727903712e-17,1.6788678550912002e-16
15,-30,325.5599732057882,5,4,0.27237886364387986,4.353821031182786e-17,1.5984430557266602e-16
30,-30,317.4985931891726,5,4,0.3139509157602369,3.9155620200073606e-17,1.247189233554477e-16
45,-30,535.376828774753,5,4,0.341021554589886,2.7760412410679683e-17,8.140368852656389e-17
60,-30,357.5344889596238,5,4,0.39213586159713254,2.413807108115423e-17,6.155537772761239e-17
75,-30,510.15168305193,5,4,0.4395957330943742,2.2750420360388015e-17,5.175305092304857e-17
90,-30,291.16632242573723,5,4,0.46239257286252133,2.7846578409180965e-17,6.022280642786258e-17
105,-30,197.02730963484098,5,4,0.39594490840292124,3.52671600329988e-17,8.907087648948942e-17
120,-30,535.0466532104645,5,4,0.3086331057737594,4.3058045175985696e-17,1.3951207556958905e-16
135,-30,219.09584633970996,5,4,0.3005541239804704,5.883077724457395e-17,1.9574104146511957e-16
150,-30,365.76383500494137,5,4,0.27311421498886257,6.737568333257648e-17,2.46694165425714e-16
165,-30,401.06019189634105,5,4,0.2679866239374362,6.980162942410968e-17,2.6046684121221464e-16
180,-30,233.10024515796914,5,4,0.2665936645485214,7.379810567704832e-17,2.7681867760070753e-16
195,-30,518.6010884309758,5,4,0.2529578600993372,7.072391531855006e-17,2.795877356440974e-16
210,-30,311.39051696506635,5,4,0.2956929775008381,6.721706304178678e-17,2.2732045789486584e-16
225,-30,267.5088955725098,5,4,0.2998828132275941,5.66974545806568e-17,1.8906536846987172e-16
240,-30,277.10972444421634,5,4,0.33238564276767213,4.780260807393256e-17,1.4381670542654933e-16
255,-30,137.49300896092106,5,4,0.3579017052199442,3.385384440338996e-17,9.458978236101303e-17
270,-30,194.35766537306702,5,4,0.41313285178886744,2.4966347178207176e-17,6.043176443147225e-17
285,-30,265.63404720074715,5,4,0.41028493633308305,2.12609768105052e-17,5.182002780927064e-17
300,-30,269.125238012421,5,4,0.36413040245762435,2.3224984287242765e-17,6.378205206291603e-17
315,-30,434.12287069080423,5,4,0.31649243337106414,2.9102783465123806e-17,9.195412084624131e-17
330,-30,262.41283736517846,5,4,0.28759011498357173,3.72366642155395e-17,1.294782479490528e-16
345,-30,326.43836134973157,5,4,0.28317642039911173,4.455125665583566e-17,1.5732685861712874e-16
360,-30,144.25000313093074,5,4,0.2674240663401946,4.558476830258923e-17,1.7045873591870405e-16
